0	5.993235	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
1	4.330398	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
2	7.712500	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
3	1.709924	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
4	11.092213	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
5	1.073805	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
6	10.207920	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
7	0.923304	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
8	0.671814	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
9	7.823540	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
10	0.359138	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
11	3.606527	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
12	11.908758	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
13	3.255991	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
14	9.281029	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
15	6.849957	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
16	2.567543	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
17	0.842668	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
18	5.077291	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
19	4.360043	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
20	9.245221	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
21	2.778389	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
22	1.780005	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
23	6.824122	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
24	0.949198	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
25	11.938125	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
26	8.694217	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
27	5.275806	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
28	8.739521	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
29	9.511939	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
30	3.494112	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
31	6.989648	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
32	1.665839	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
33	11.779225	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
34	5.546554	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
35	6.995881	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
36	0.839616	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
37	1.596596	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
38	4.356580	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
39	10.301340	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
40	0.180923	-11052618598639122394860524968131510606293618935079916361595902886435209175549081914256573628322018714261127168.000000
