# step,  Energy, magenetization 
0	-6400.000000	1600.000000
1	-3308.000000	1088.000000
2	-1856.000000	750.000000
3	-1360.000000	486.000000
4	-1244.000000	340.000000
5	-952.000000	212.000000
6	-1100.000000	208.000000
7	-900.000000	114.000000
8	-824.000000	80.000000
9	-960.000000	72.000000
10	-1144.000000	226.000000
11	-884.000000	122.000000
12	-696.000000	52.000000
13	-1056.000000	-4.000000
14	-796.000000	26.000000
15	-1064.000000	-26.000000
16	-896.000000	-16.000000
17	-800.000000	-66.000000
18	-932.000000	-18.000000
19	-1048.000000	-16.000000
20	-944.000000	-56.000000
21	-992.000000	38.000000
22	-960.000000	-90.000000
23	-984.000000	-12.000000
24	-908.000000	-50.000000
25	-920.000000	-68.000000
26	-984.000000	-54.000000
27	-916.000000	10.000000
28	-924.000000	54.000000
29	-968.000000	62.000000
30	-1028.000000	68.000000
31	-1204.000000	22.000000
32	-808.000000	-54.000000
33	-852.000000	-16.000000
34	-1012.000000	-150.000000
35	-1000.000000	-42.000000
36	-1092.000000	-88.000000
37	-1124.000000	-116.000000
38	-1176.000000	-186.000000
39	-940.000000	-62.000000
40	-1016.000000	-28.000000
41	-904.000000	-40.000000
42	-724.000000	-72.000000
43	-1164.000000	-24.000000
44	-924.000000	18.000000
45	-892.000000	136.000000
46	-1024.000000	146.000000
47	-988.000000	160.000000
48	-1116.000000	36.000000
49	-1212.000000	-24.000000
50	-844.000000	-54.000000
51	-1100.000000	-88.000000
52	-1140.000000	16.000000
53	-996.000000	-30.000000
54	-836.000000	-4.000000
55	-1276.000000	30.000000
56	-936.000000	30.000000
57	-708.000000	-12.000000
58	-944.000000	-2.000000
59	-848.000000	-38.000000
60	-764.000000	30.000000
61	-720.000000	66.000000
62	-740.000000	100.000000
63	-780.000000	90.000000
64	-896.000000	52.000000
65	-812.000000	-66.000000
66	-828.000000	-194.000000
67	-856.000000	-78.000000
68	-836.000000	-64.000000
69	-988.000000	68.000000
70	-1024.000000	62.000000
71	-848.000000	126.000000
72	-976.000000	98.000000
73	-932.000000	106.000000
74	-948.000000	218.000000
75	-1040.000000	180.000000
76	-992.000000	110.000000
77	-920.000000	24.000000
78	-1056.000000	66.000000
79	-956.000000	46.000000
80	-1076.000000	114.000000
81	-996.000000	182.000000
82	-948.000000	22.000000
83	-988.000000	78.000000
84	-940.000000	102.000000
85	-828.000000	52.000000
86	-892.000000	-42.000000
87	-1120.000000	-76.000000
88	-1080.000000	-80.000000
89	-960.000000	-148.000000
90	-1004.000000	-126.000000
91	-964.000000	2.000000
92	-924.000000	-42.000000
93	-1244.000000	18.000000
94	-1080.000000	42.000000
95	-1128.000000	120.000000
96	-1108.000000	58.000000
97	-916.000000	42.000000
98	-856.000000	36.000000
99	-804.000000	38.000000
100	-984.000000	6.000000
101	-1164.000000	74.000000
102	-1148.000000	2.000000
103	-960.000000	22.000000
104	-860.000000	92.000000
105	-952.000000	130.000000
106	-1040.000000	58.000000
107	-1072.000000	30.000000
108	-1056.000000	74.000000
