256
0.000000 6.945863
0.000000 6.945863
0.000000 6.945863
6.649962	0.159337	6.692173	1.000000
0.994498	1.094274	6.879275	1.000000
0.610542	0.047081	0.261658	1.000000
6.856600	0.677475	0.891930	1.000000
1.578804	6.861806	1.536190	1.000000
0.583232	0.838861	1.656687	1.000000
0.921004	0.354258	2.549811	1.000000
6.851815	0.797614	3.005980	1.000000
0.107047	6.810613	3.579175	1.000000
1.060657	0.945404	3.580490	1.000000
1.010347	6.867831	4.128360	1.000000
0.309138	0.671279	4.452363	1.000000
0.007015	6.540065	5.570660	1.000000
0.931630	0.109698	5.142251	1.000000
0.575287	0.314255	6.177845	1.000000
0.252400	1.130541	5.388031	1.000000
6.757810	1.328227	6.617795	1.000000
0.631082	2.106364	6.289757	1.000000
1.758318	0.992701	0.666453	1.000000
0.493346	2.484665	0.259392	1.000000
0.057474	1.753105	1.641469	1.000000
0.451346	2.669935	1.807763	1.000000
0.316518	2.000223	2.714024	1.000000
0.187916	3.095148	2.714335	1.000000
6.659139	1.480668	3.723859	1.000000
1.070677	2.951902	3.213995	1.000000
0.603664	1.851538	4.124758	1.000000
0.064235	3.115518	4.096122	1.000000
6.709085	2.008675	4.878928	1.000000
0.708295	3.236926	5.038788	1.000000
0.886005	2.159625	5.213900	1.000000
6.601516	2.307583	6.099382	1.000000
6.790065	3.270454	6.903227	1.000000
1.017175	4.072539	6.454007	1.000000
0.444539	3.459212	0.894158	1.000000
6.844717	4.362863	0.830890	1.000000
6.876159	3.882409	1.985244	1.000000
0.959165	4.277356	1.638249	1.000000
0.838802	3.927417	2.839261	1.000000
6.924804	4.955694	2.049133	1.000000
6.705483	3.943308	3.082871	1.000000
0.515391	5.007827	3.577741	1.000000
1.107142	3.766162	3.872438	1.000000
6.924527	4.235737	4.080389	1.000000
6.541207	3.447400	4.944150	1.000000
0.854738	4.212736	4.755678	1.000000
0.058082	3.623694	5.896187	1.000000
0.533778	4.999298	5.928412	1.000000
0.095178	4.982450	6.899993	1.000000
0.565518	5.846402	0.461130	1.000000
1.086962	4.898981	0.738017	1.000000
6.662035	6.508915	0.720823	1.000000
6.714010	5.422244	1.042791	1.000000
0.776312	5.504841	1.492929	1.000000
1.004308	6.262463	2.403500	1.000000
0.126421	5.840686	2.759093	1.000000
6.240174	5.009008	3.072637	1.000000
0.920068	6.061352	3.527885	1.000000
0.160581	5.055306	4.940221	1.000000
6.668873	5.701280	4.049687	1.000000
6.340700	5.747972	5.120273	1.000000
0.488171	6.172737	4.769513	1.000000
1.249102	5.552080	6.724609	1.000000
6.910413	6.132846	6.502343	1.000000
1.658330	0.068387	5.911352	1.000000
2.934334	0.364318	6.838924	1.000000
2.523627	0.186786	0.850877	1.000000
