256
0.000000 7.528288
0.000000 7.528288
0.000000 7.528288
5.395135	7.054842	1.655208	1.000000
6.829886	0.262604	7.305395	1.000000
3.715961	3.582478	0.476534	1.000000
4.874694	0.716616	6.872226	1.000000
6.729115	3.519595	7.176242	1.000000
3.584298	3.172903	2.555652	1.000000
3.189424	5.703991	3.434172	1.000000
5.527628	5.617279	5.778307	1.000000
0.936314	7.176826	4.313121	1.000000
5.831777	0.614777	0.184293	1.000000
4.006552	1.388535	3.638045	1.000000
4.397012	0.964452	5.977840	1.000000
1.639968	5.068745	4.005387	1.000000
1.914720	0.538824	7.286484	1.000000
1.451857	4.694133	2.829536	1.000000
6.926858	0.119849	6.192388	1.000000
0.736448	0.570140	1.589727	1.000000
0.024548	4.161736	7.254508	1.000000
0.436308	1.940026	7.353661	1.000000
2.769777	1.366312	0.534116	1.000000
1.519863	3.816203	4.769903	1.000000
7.511471	4.733796	2.742562	1.000000
0.334262	5.390573	5.003222	1.000000
7.357882	1.573706	2.673038	1.000000
0.995315	2.837510	0.281320	1.000000
5.851850	5.783562	0.083365	1.000000
3.415246	0.091412	0.709870	1.000000
0.971239	1.816044	3.310525	1.000000
2.332796	5.922161	7.061771	1.000000
0.804913	4.404753	5.277517	1.000000
4.840620	0.352409	1.034124	1.000000
0.342351	5.452210	2.043560	1.000000
0.881127	5.974963	7.372579	1.000000
3.144491	3.973337	1.165705	1.000000
0.140161	3.380677	0.658493	1.000000
5.350633	2.176118	4.879040	1.000000
4.325102	2.309723	5.666608	1.000000
6.797356	4.746669	2.063193	1.000000
3.404218	4.342898	2.127115	1.000000
7.082855	1.397272	5.488296	1.000000
2.762887	5.347936	4.633436	1.000000
6.290458	4.113282	1.397929	1.000000
7.510002	2.253908	1.806491	1.000000
3.335493	5.990206	0.622018	1.000000
5.825368	0.504037	1.221421	1.000000
2.305889	6.520143	5.478967	1.000000
3.724288	7.516777	7.218613	1.000000
1.919018	0.625217	0.926190	1.000000
3.171180	2.663010	7.416086	1.000000
4.636135	6.567053	5.669626	1.000000
4.715796	2.793339	6.766676	1.000000
5.038860	5.672160	0.708326	1.000000
4.187770	6.005606	1.748085	1.000000
0.215252	7.437706	6.998532	1.000000
4.196678	4.663033	1.442175	1.000000
0.572527	6.606337	6.550440	1.000000
6.954704	5.369917	0.032239	1.000000
5.185517	1.338610	0.625900	1.000000
2.330799	5.479962	5.689460	1.000000
6.008630	4.932283	4.909748	1.000000
2.812859	2.714933	4.194980	1.000000
5.343752	4.942569	7.292074	1.000000
0.059579	6.805008	3.719113	1.000000
2.470520	1.618841	6.119538	1.000000
1.970682	1.723289	7.188311	1.000000
3.753723	4.962298	6.787338	1.000000
0.307214	0.668476	3.962916	1.000000
0.667660	0.923025	3.000688	1.000000
4.730428	4.883354	5.687301	1.000000
6.513656	4.698021	6.630423	1.000000
6.508707	2.280357	5.017110	1.000000
6.352531	1.142929	4.047331	1.000000
2.804814	4.991193	0.580671	1.000000
6.568409	6.481207	5.473276	1.000000
1.170999	1.950427	2.294400	1.000000
2.967114	0.126152	6.523929	1.000000
4.586242	5.627029	6.475179	1.000000
2.999247	2.851665	0.950879	1.000000
4.933509	0.591356	4.089267	1.000000
3.678422	1.268345	4.643955	1.000000
3.128282	6.460858	6.707872	1.000000
6.650751	2.937172	0.652437	1.000000
4.431370	4.091863	4.872585	1.000000
0.109530	5.899201	1.043533	1.000000
3.818732	2.688038	4.696681	1.000000
5.534636	4.081016	5.252074	1.000000
1.775263	4.849638	6.678930	1.000000
3.157016	1.190247	1.555235	1.000000
2.570860	6.947257	0.654379	1.000000
2.070162	2.587303	2.017098	1.000000
5.651802	0.365515	5.855517	1.000000
2.768512	4.255476	7.389758	1.000000
2.485242	5.201146	1.767984	1.000000
0.011882	2.393189	5.235149	1.000000
5.775456	1.948596	7.339040	1.000000
4.656588	1.889498	7.288663	1.000000
